title,overview,query,retriever
Young Again,"A college baseball drama involving double identity, self deception, and steroid abuse.",What are some titles of movies about baseball?,movie
Thunder Rolls! The World of Blind Baseball,"How can individuals who are blind and visually impaired play baseball? This documentary tells the story of how this is possible. When the rules of a game are changed, appropriate technologies are applied, and opportunities are opened, individuals with disabilities can play competitive sports at Olympic levels. Combines a thriller sports story with an educational message. Dramatic action centers on the quest of the Indy Thunder team to win their second World Championship. The film follows the team members and their coach, Darnell Booker, as they come together as a family. It reveals a nuanced world that involves the full range of accomplishments and engagements of the individuals portrayed. A spirited, humanistic, sports story operating on many levels of entertainment and social significance.",What are some titles of movies about baseball?,movie
Shohei Ohtani: Beyond the Dream,"This film is an intimate and moving cinematic record of Shohei Ohtani's journey to MLB stardom.  A faithful portrait of his talent development and battle with injuries, and his unique mindset to become a superstar ballplayer breaking all the barriers of race, language, discipline, and culture.",What are some titles of movies about baseball?,movie
Monster Under The River,A little boy trying to beat a monster.  A baseball team captain trying to win a game.  Perhaps ...they're the same thing.,What are some titles of movies about baseball?,movie
The Astros Edge,"FRONTLINE examines the Houston Astros cheating scandal and what it says about baseball today. With reporter Ben Reiter, the documentary traces the making of one of the best teams and worst scandals in modern Major League Baseball history, the limited accountability and how the Astros’ approach to baseball changed the sport.",What are some titles of movies about baseball?,movie
Indoor Baseball,Noel works at an indoor baseball facility with her father where her day-to-day existence is overshadowed by the curse of her family’s lineage: every family member must hit 100 baseballs everyday or the love of their life will die.,What are some titles of movies about baseball?,movie
unDEFILED,"Struggling with an endless cycle of family-destroying addiction and shame, an aging Mitch Jennings finally gets his shot at professional baseball. But, taking that chance will mean turning his back on a team secret so terrible that it may cost a sex-trafficked young girl her life.",What are some titles of movies about baseball?,movie
Below the Rim,Allen James is on top of the world when it all comes crashing down. He's forced to take his son and girl to live with his mother. With limited choices and nowhere to turn he finds himself in the midst of a drug ring and a street-ball war to survive.,What are some titles of movies about baseball?,movie
Samurai Japan: The Story Behind the WBC Clean Sweep,"Samurai Japan won the 2023 World Baseball Classic for the first time in 14 years, and went all the way to the final undefeated. In addition to the never-before-seen footage of the team, the film also includes interviews with Manager Hideki Kuriyama, players, coaches, and team staff. What is the truth behind the glory and the suffering of the people involved?",What are some titles of movies about baseball?,movie
Carson Bigbee: The Pirate of America's Pastime,"In a time when America was on the brink of modernization, Carson ""Skeeter"" Bigbee emerged from rural Oregon to become an embodiment of national transformation. Born to working parents in 1895, Bigbee’s life as a multi-sport athlete, a baseball star with the Pittsburgh Pirates, a World War I enlistee, and a World Series hero, intersected with America's Progressive Era, the electrification of society, the First World War, and the onset of the Great Depression. His story, from hitting the decisive run in the 1925 World Series to managing in the American Girls Professional Baseball League, is a poignant reflection of ambition, patriotism, and the resilient spirit of an ever-changing nation in the early 20th Century.",What are some titles of movies about baseball?,movie
Carson Bigbee: The Pirate of America's Pastime,"In a time when America was on the brink of modernization, Carson ""Skeeter"" Bigbee emerged from rural Oregon to become an embodiment of national transformation. Born to working parents in 1895, Bigbee’s life as a multi-sport athlete, a baseball star with the Pittsburgh Pirates, a World War I enlistee, and a World Series hero, intersected with America's Progressive Era, the electrification of society, the First World War, and the onset of the Great Depression. His story, from hitting the decisive run in the 1925 World Series to managing in the American Girls Professional Baseball League, is a poignant reflection of ambition, patriotism, and the resilient spirit of an ever-changing nation in the early 20th Century.",What are some titles of movies about baseball?,theme
unDEFILED,"Struggling with an endless cycle of family-destroying addiction and shame, an aging Mitch Jennings finally gets his shot at professional baseball. But, taking that chance will mean turning his back on a team secret so terrible that it may cost a sex-trafficked young girl her life.",What are some titles of movies about baseball?,theme
Monster Under The River,A little boy trying to beat a monster.  A baseball team captain trying to win a game.  Perhaps ...they're the same thing.,What are some titles of movies about baseball?,theme
"Heritage Minutes: Mary ""Bonnie"" Baker","This Heritage Minute celebrates Saskatchewan’s Mary “Bonnie” Baker, an all-star catcher in the All-American Girls Professional Baseball League and a pioneer for women in sports.",What are some titles of movies about baseball?,theme
Samurai Japan: The Story Behind the WBC Clean Sweep,"Samurai Japan won the 2023 World Baseball Classic for the first time in 14 years, and went all the way to the final undefeated. In addition to the never-before-seen footage of the team, the film also includes interviews with Manager Hideki Kuriyama, players, coaches, and team staff. What is the truth behind the glory and the suffering of the people involved?",What are some titles of movies about baseball?,theme
The Astros Edge,"FRONTLINE examines the Houston Astros cheating scandal and what it says about baseball today. With reporter Ben Reiter, the documentary traces the making of one of the best teams and worst scandals in modern Major League Baseball history, the limited accountability and how the Astros’ approach to baseball changed the sport.",What are some titles of movies about baseball?,theme
Shame,"On their way back home from a baseball academy’s tryouts, Pedro and Lucio are taken hostage and turned over to a criminal group. The teenage friends are forced to fight each other to death; Pedro defeats Lucio and manages to escape. Pedro receives help and refuge with Lucio’s family and he witnesses the family’s collapse and pain. Pedro is tormented with guilt and fear, he cannot tell his friend’s family the truth.",What are some titles of movies about baseball?,theme
Smashing Pumpkins,"When a baseball team’s hazing ritual goes wrong, they accidentally send an evil figure on a blood path after an innocent victim of their choosing.",What are some titles of movies about baseball?,theme
Shohei Ohtani: Beyond the Dream,"This film is an intimate and moving cinematic record of Shohei Ohtani's journey to MLB stardom.  A faithful portrait of his talent development and battle with injuries, and his unique mindset to become a superstar ballplayer breaking all the barriers of race, language, discipline, and culture.",What are some titles of movies about baseball?,theme
Young Again,"A college baseball drama involving double identity, self deception, and steroid abuse.",What are some titles of movies about baseball?,theme
Thunder Rolls! The World of Blind Baseball,"How can individuals who are blind and visually impaired play baseball? This documentary tells the story of how this is possible. When the rules of a game are changed, appropriate technologies are applied, and opportunities are opened, individuals with disabilities can play competitive sports at Olympic levels. Combines a thriller sports story with an educational message. Dramatic action centers on the quest of the Indy Thunder team to win their second World Championship. The film follows the team members and their coach, Darnell Booker, as they come together as a family. It reveals a nuanced world that involves the full range of accomplishments and engagements of the individuals portrayed. A spirited, humanistic, sports story operating on many levels of entertainment and social significance.",What are some titles of movies about baseball?,theme
unDEFILED,"Struggling with an endless cycle of family-destroying addiction and shame, an aging Mitch Jennings finally gets his shot at professional baseball. But, taking that chance will mean turning his back on a team secret so terrible that it may cost a sex-trafficked young girl her life.",What are some titles of movies about baseball?,theme_group
Carson Bigbee: The Pirate of America's Pastime,"In a time when America was on the brink of modernization, Carson ""Skeeter"" Bigbee emerged from rural Oregon to become an embodiment of national transformation. Born to working parents in 1895, Bigbee’s life as a multi-sport athlete, a baseball star with the Pittsburgh Pirates, a World War I enlistee, and a World Series hero, intersected with America's Progressive Era, the electrification of society, the First World War, and the onset of the Great Depression. His story, from hitting the decisive run in the 1925 World Series to managing in the American Girls Professional Baseball League, is a poignant reflection of ambition, patriotism, and the resilient spirit of an ever-changing nation in the early 20th Century.",What are some titles of movies about baseball?,theme_group
Smashing Pumpkins,"When a baseball team’s hazing ritual goes wrong, they accidentally send an evil figure on a blood path after an innocent victim of their choosing.",What are some titles of movies about baseball?,theme_group
"Heritage Minutes: Mary ""Bonnie"" Baker","This Heritage Minute celebrates Saskatchewan’s Mary “Bonnie” Baker, an all-star catcher in the All-American Girls Professional Baseball League and a pioneer for women in sports.",What are some titles of movies about baseball?,theme_group
Monster Under The River,A little boy trying to beat a monster.  A baseball team captain trying to win a game.  Perhaps ...they're the same thing.,What are some titles of movies about baseball?,theme_group
The Astros Edge,"FRONTLINE examines the Houston Astros cheating scandal and what it says about baseball today. With reporter Ben Reiter, the documentary traces the making of one of the best teams and worst scandals in modern Major League Baseball history, the limited accountability and how the Astros’ approach to baseball changed the sport.",What are some titles of movies about baseball?,theme_group
