query,index,score,tmdbId,title,overview,map,matches_theme,theme
What are some documentaries about painters?,movie,0.7418355941772461,1174520,Watercolors,Watercolors is an omnibus documentary that highlights indie musicians who are seeking new paths and creating their own musical world.,"{'title': 'Watercolors', 'overview': 'Watercolors is an omnibus documentary that highlights indie musicians who are seeking new paths and creating their own musical world.', 'question': 'What are some documentaries about painters?'}",no,
What are some documentaries about painters?,movie,0.7369313836097717,1192768,Of Color & Ink,"The documentary that uncovers the creative, political, and spiritual journeys of China’s foremost 20th-century painter Chang Dai-chien (1899-1983). The film follows his unusual life journey from pre-Communist China to Argentina, the jungles of Brazil; his much acclaimed exhibits in Paris and Germany in the 1960s; as well as his final years in California and Taiwan, in a thirty-year exile in the West that has been shrouded in mystery. Through interviews and previously unseen archival materials, we follow three decades of this artist’s creative and spiritual quest far from his homeland.","{'title': 'Of Color & Ink', 'overview': 'The documentary that uncovers the creative, political, and spiritual journeys of China’s foremost 20th-century painter Chang Dai-chien (1899-1983). The film follows his unusual life journey from pre-Communist China to Argentina, the jungles of Brazil; his much acclaimed exhibits in Paris and Germany in the 1960s; as well as his final years in California and Taiwan, in a thirty-year exile in the West that has been shrouded in mystery. Through interviews and previously unseen archival materials, we follow three decades of this artist’s creative and spiritual quest far from his homeland.', 'question': 'What are some documentaries about painters?'}",yes,
What are some documentaries about painters?,movie,0.7367216348648071,999257,Ricardo and Painting,"Ricardo and Painting is Barbet Schroeder's portrait of his friend the painter Ricardo Cavallo, who devoted his life to painting. From Buenos Aires to Finistère, via Paris and Peru, this film is an invitation to dive into the history of painting, but also to discover the life of this exceptional man who, with simplicity and humility, always fully committed, to the point of transmitting his passion to the children of his village.","{'title': 'Ricardo and Painting', 'overview': ""Ricardo and Painting is Barbet Schroeder's portrait of his friend the painter Ricardo Cavallo, who devoted his life to painting. From Buenos Aires to Finistère, via Paris and Peru, this film is an invitation to dive into the history of painting, but also to discover the life of this exceptional man who, with simplicity and humility, always fully committed, to the point of transmitting his passion to the children of his village."", 'question': 'What are some documentaries about painters?'}",yes,
What are some documentaries about painters?,movie,0.7363754510879517,1203399,The Painting,"A dying filmmaker decides to create a giant painting utilizing a model as a ‘Human Paintbrush’. He finds a young woman on Tinder and films her from the first moment he picks her up and brings her to his studio in Taos where he strips her naked, pours paint all over her body and rolls her on the 8’ by 16’ canvas... viola’ THE PAINTING... shot in a single day. It’s not just a painting, it’s an Artist meeting his Muse and discovering the power of Magical Thinking transcending his death and preconceived notions of Art Love and Money.","{'title': 'The Painting', 'overview': 'A dying filmmaker decides to create a giant painting utilizing a model as a ‘Human Paintbrush’. He finds a young woman on Tinder and films her from the first moment he picks her up and brings her to his studio in Taos where he strips her naked, pours paint all over her body and rolls her on the 8’ by 16’ canvas... viola’ THE PAINTING... shot in a single day. It’s not just a painting, it’s an Artist meeting his Muse and discovering the power of Magical Thinking transcending his death and preconceived notions of Art Love and Money.', 'question': 'What are some documentaries about painters?'}",no,
What are some documentaries about painters?,movie,0.7340788841247559,1199838,Painter,"Painter finds half photo of a struggling dusky actress, falls for her, completes her portrait, and love blossoms through art.","{'title': 'Painter', 'overview': 'Painter finds half photo of a struggling dusky actress, falls for her, completes her portrait, and love blossoms through art.', 'question': 'What are some documentaries about painters?'}",no,
What are some documentaries about painters?,movie,0.7315921187400818,1192981,The Painter,"When an aspiring painter grapples with self-doubt in his artistic journey, his father must learn to love and accept him for who he is.","{'title': 'The Painter', 'overview': 'When an aspiring painter grapples with self-doubt in his artistic journey, his father must learn to love and accept him for who he is.', 'question': 'What are some documentaries about painters?'}",no,
What are some documentaries about painters?,movie,0.7300562262535095,1212887,Canvas,"An egotistic, self-centric painter discovers he has developed a life-changing disease. Choosing to forget his troubled past, he immerses himself in painting, reshaping his memories to imagine a different past.","{'title': 'Canvas', 'overview': 'An egotistic, self-centric painter discovers he has developed a life-changing disease. Choosing to forget his troubled past, he immerses himself in painting, reshaping his memories to imagine a different past.', 'question': 'What are some documentaries about painters?'}",no,
What are some documentaries about painters?,movie,0.7296453714370728,1195590,Urbs Picta - Giotto e il sogno del Rinascimento,"""Urbs Picta - Giotto e il sogno del Rinascimento"", a documentary about the development of painting in Veneto during the XIV century, begun with Giotto arriving in Padova.","{'title': 'Urbs Picta - Giotto e il sogno del Rinascimento', 'overview': '""Urbs Picta - Giotto e il sogno del Rinascimento"", a documentary about the development of painting in Veneto during the XIV century, begun with Giotto arriving in Padova.', 'question': 'What are some documentaries about painters?'}",yes,
What are some documentaries about painters?,movie,0.7278776168823242,1115125,A Revolution on Canvas,"In this hybrid political thriller and verité portrait documentary, Sara Nodjoumi, working with co-director and husband, Till Schauder, makes her directorial debut with this personal film, diving into the mystery surrounding the disappearance of more than 100 “treasonous” paintings by her father, seminal Iranian modern artist Nickzad Nodjoumi.","{'title': 'A Revolution on Canvas', 'overview': 'In this hybrid political thriller and verité portrait documentary, Sara Nodjoumi, working with co-director and husband, Till Schauder, makes her directorial debut with this personal film, diving into the mystery surrounding the disappearance of more than 100 “treasonous” paintings by her father, seminal Iranian modern artist Nickzad Nodjoumi.', 'question': 'What are some documentaries about painters?'}",no,
What are some documentaries about painters?,movie,0.7278013229370117,1183518,The Art Painting,"The room: empty except for a toilet, a bed and an easel. The man: locked in, confused and informed that he's a famous artist. The result: chaos, insanity and some art.","{'title': 'The Art Painting', 'overview': ""The room: empty except for a toilet, a bed and an easel. The man: locked in, confused and informed that he's a famous artist. The result: chaos, insanity and some art."", 'question': 'What are some documentaries about painters?'}",no,
